:stock_price,:stock_dividend_rate,:federal_reserve_interest_rate,:option_expires_in_days,:option_strike,:option_price,:iv,:delta,:gamma,:vega,:rho,:theta,:delta_vs_theta,:annualized_premium_value,:premium_value,:time_value,:annualized_time_value,:break_even
4.05,0,0,50,0.5,3.5,,,,,,,,3299.98,3.55,,,
4.05,0,0,50,1,3,,,,,,,,2199.99,3.05,,,
4.05,0,0,50,1.5,2.51,,,,,,,,1560.5,2.55,,,
4.05,0,0,50,2,2.03,,,,,,,,1111.85,2.05,,,
4.05,0,0,50,2.5,1.53,,,,,,,,757.73,1.55,,,
4.05,0,0,50,3,1.04,,,,,,,,472.33,1.05,,,
4.05,0,0,50,3.5,0.59,58.2,5.9,1.8,0.23,0.31,-0.49,-11.88,247.22,0.55,0.05,20.27,44.09
4.05,0,0,50,4,0.26,58.8,8.7,4.8,0.91,0.49,-1.97,-4.42,99.94,0.05,0.22,83.09,33.57
4.05,0,0,50,4.5,0.09,59.9,11.8,8.2,2.21,0.68,-4.8,-2.47,31.43,,0.09,31.43,18
4.05,0,0,50,5,0.03,63.3,14.2,10.9,3.9,0.83,-8.47,-1.67,9.49,,0.03,9.49,7.35
4.05,0,0,50,5.5,0.01,66.4,15.8,13,5.7,0.93,-12.4,-1.28,2.88,,0.01,2.88,2.63
